sample_names,individual,size,sex,tissue,lane,mass
F101_lg_female_hdhorn,F101,lg,female,hdhorn,L008,14.22
F101_lg_female_thxhorn,F101,lg,female,thxhorn,L006,14.22
F101_lg_female_wings,F101,lg,female,wings,L003,14.22
F105_lg_female_hdhorn,F105,lg,female,hdhorn,L006,13.75
F105_lg_female_thxhorn,F105,lg,female,thxhorn,L004,13.75
F105_lg_female_wings,F105,lg,female,wings,L007,13.75
F131_lg_female_hdhorn,F131,lg,female,hdhorn,L001,13.22
F131_lg_female_thxhorn,F131,lg,female,thxhorn,L008,13.22
F131_lg_female_wings,F131,lg,female,wings,L005,13.22
F135_sm_female_wings,F135,sm,female,wings,L001,4.69
F135_sm_female_hdhorn,F135,sm,female,hdhorn,L003,4.69
F135_sm_female_thxhorn,F135,sm,female,thxhorn,L005,4.69
F136_sm_female_hdhorn,F136,sm,female,hdhorn,L007,4.7
F136_sm_female_thxhorn,F136,sm,female,thxhorn,L003,4.7
F136_sm_female_wings,F136,sm,female,wings,L006,4.7
F196_sm_female_hdhorn,F196,sm,female,hdhorn,L002,4.8
F196_sm_female_thxhorn,F196,sm,female,thxhorn,L007,4.8
F196_sm_female_wings,F196,sm,female,wings,L008,4.8
F197_sm_female_hdhorn,F197,sm,female,hdhorn,L004,4.78
F197_sm_female_thxhorn,F197,sm,female,thxhorn,L001,4.78
F197_sm_female_wings,F197,sm,female,wings,L002,4.78
F218_lg_female_hdhorn,F218,lg,female,hdhorn,L005,14.09
F218_lg_female_thxhorn,F218,lg,female,thxhorn,L002,14.09
F218_lg_female_wings,F218,lg,female,wings,L004,14.09
M120_sm_male_genitalia,M120,sm,male,genitalia,L006,6.78
M120_sm_male_hdhorn,M120,sm,male,hdhorn,L004,6.78
M120_sm_male_thxhorn,M120,sm,male,thxhorn,L001,6.78
M120_sm_male_wings,M120,sm,male,wings,L002,6.78
M125_lg_male_genitalia,M125,lg,male,genitalia,L001,20.68
M125_lg_male_hdhorn,M125,lg,male,hdhorn,L006,20.68
M125_lg_male_wings,M125,lg,male,wings,L004,20.68
M160_lg_male_genitalia,M160,lg,male,genitalia,L004,19.05
M160_lg_male_hdhorn,M160,lg,male,hdhorn,L005,19.05
M160_lg_male_thxhorn,M160,lg,male,thxhorn,L002,19.05
M160_lg_male_wings,M160,lg,male,wings,L007,19.05
M171_sm_male_genitalia,M171,sm,male,genitalia,L003,5.72
M171_sm_male_hdhorn,M171,sm,male,hdhorn,L007,5.72
M171_sm_male_thxhorn,M171,sm,male,thxhorn,L005,5.72
M171_sm_male_wings,M171,sm,male,wings,L001,5.72
M172_sm_male_genitalia,M172,sm,male,genitalia,L008,11.94
M172_sm_male_hdhorn,M172,sm,male,hdhorn,L003,11.94
M172_sm_male_thxhorn,M172,sm,male,thxhorn,L004,11.94
M172_sm_male_wings,M172,sm,male,wings,L006,11.94
M180_lg_male_genitalia,M180,lg,male,genitalia,L005,19.44
M180_lg_male_hdhorn,M180,lg,male,hdhorn,L001,19.44
M180_lg_male_thxhorn,M180,lg,male,thxhorn,L003,19.44
M180_lg_male_wings,M180,lg,male,wings,L008,19.44
M200_sm_male_genitalia,M200,sm,male,genitalia,L002,8.02
M200_sm_male_hdhorn,M200,sm,male,hdhorn,L008,8.02
M200_sm_male_thxhorn,M200,sm,male,thxhorn,L007,8.02
M200_sm_male_wings,M200,sm,male,wings,L005,8.02
M257_lg_male_genitalia,M257,lg,male,genitalia,L007,20.36
M257_lg_male_hdhorn,M257,lg,male,hdhorn,L002,20.36
M257_lg_male_thxhorn,M257,lg,male,thxhorn,L006,20.36
M257_lg_male_wings,M257,lg,male,wings,L003,20.36
